Independence,Empowerment,Fun,Breakup or Heartbreak,Love
11.0,3.0,32,6.0,3.0
2.0,3.0,9,19.0,
6.0,5.0,17,9.0,3.0
13.0,14.0,6,5.0,
1.0,1.0,5,19.0,4.0
11.0,6.0,4,15.0,1.0
1.0,8.0,11,14.0,1.0
1.0,12.0,21,8.0,6.0
3.0,7.0,6,24.0,
4.0,8.0,19,8.0,2.0
2.0,6.0,24,8.0,1.0
6.0,18.0,8,7.0,1.0
3.0,8.0,10,9.0,2.0
1.0,,4,14.0,4.0
,7.0,25,6.0,7.0
1.0,18.0,27,11.0,1.0
,12.0,8,28.0,1.0
6.0,10.0,7,7.0,1.0
3.0,8.0,22,4.0,3.0
4.0,11.0,15,11.0,4.0
1.0,11.0,26,3.0,
6.0,23.0,24,5.0,3.0
,13.0,10,14.0,12.0
7.0,10.0,29,4.0,
4.0,8.0,8,23.0,2.0
6.0,9.0,20,6.0,11.0
3.0,9.0,5,43.0,
7.0,9.0,5,22.0,2.0
3.0,11.0,10,19.0,2.0
4.0,7.0,19,7.0,11.0
6.0,12.0,26,6.0,3.0
3.0,18.0,9,9.0,
8.0,8.0,14,10.0,8.0
3.0,3.0,29,16.0,1.0
2.0,10.0,11,21.0,3.0
1.0,19.0,16,23.0,
3.0,3.0,6,26.0,2.0
6.0,9.0,9,30.0,
2.0,4.0,10,30.0,1.0
3.0,12.0,24,14.0,7.0
7.0,4.0,22,13.0,1.0
7.0,12.0,28,18.0,
8.0,16.0,14,9.0,
5.0,2.0,2,36.0,
4.0,15.0,26,15.0,3.0
3.0,23.0,30,9.0,
7.0,10.0,15,8.0,8.0
4.0,18.0,20,12.0,
2.0,14.0,20,10.0,7.0
8.0,6.0,17,15.0,4.0
4.0,7.0,18,13.0,9.0
9.0,18.0,10,11.0,
2.0,10.0,19,52.0,
3.0,2.0,15,26.0,1.0
5.0,6.0,43,16.0,4.0
9.0,2.0,15,23.0,1.0
2.0,,20,24.0,2.0
3.0,9.0,21,6.0,6.0
5.0,18.0,16,23.0,
6.0,7.0,28,4.0,1.0
1.0,9.0,3,14.0,9.0
1.0,5.0,24,13.0,1.0
5.0,24.0,15,16.0,1.0
2.0,7.0,40,1.0,
3.0,7.0,15,9.0,3.0
7.0,8.0,34,10.0,1.0
2.0,6.0,24,21.0,2.0
7.0,8.0,21,45.0,
1.0,22.0,24,3.0,3.0
2.0,14.0,29,31.0,6.0
4.0,2.0,28,2.0,1.0
2.0,27.0,34,5.0,
1.0,18.0,15,17.0,3.0
12.0,10.0,21,12.0,
7.0,14.0,26,26.0,11.0
12.0,2.0,8,39.0,7.0
2.0,2.0,50,10.0,
2.0,16.0,19,11.0,3.0
,7.0,6,10.0,28.0
6.0,13.0,20,1.0,2.0
7.0,5.0,1,19.0,
7.0,5.0,36,11.0,3.0
9.0,6.0,31,19.0,8.0
7.0,11.0,29,12.0,4.0
10.0,6.0,50,18.0,2.0
6.0,5.0,34,12.0,2.0
2.0,7.0,21,20.0,13.0
5.0,12.0,38,18.0,
8.0,9.0,42,11.0,
1.0,14.0,27,31.0,1.0
12.0,11.0,14,18.0,
4.0,18.0,31,47.0,2.0
5.0,15.0,16,8.0,12.0
3.0,4.0,39,13.0,5.0
8.0,19.0,19,10.0,
2.0,3.0,14,30.0,4.0
6.0,6.0,31,11.0,3.0
3.0,12.0,14,4.0,3.0
9.0,5.0,13,20.0,
5.0,5.0,37,23.0,3.0
1.0,8.0,10,2.0,9.0
5.0,29.0,17,17.0,
7.0,8.0,5,26.0,3.0
4.0,12.0,31,8.0,14.0
15.0,17.0,24,42.0,1.0
2.0,9.0,36,10.0,9.0
,9.0,18,22.0,4.0
9.0,6.0,18,25.0,6.0
,2.0,40,5.0,10.0
3.0,4.0,17,10.0,
7.0,10.0,16,7.0,12.0
7.0,9.0,12,15.0,
9.0,9.0,8,20.0,7.0
14.0,4.0,32,9.0,7.0
2.0,3.0,29,,
10.0,6.0,20,20.0,6.0
5.0,8.0,18,14.0,1.0
1.0,16.0,24,10.0,2.0
4.0,4.0,17,15.0,
5.0,6.0,20,34.0,1.0
,6.0,15,30.0,2.0
4.0,4.0,25,11.0,4.0
6.0,4.0,20,5.0,6.0
16.0,27.0,12,17.0,
9.0,2.0,5,18.0,2.0
4.0,6.0,14,17.0,
3.0,11.0,18,10.0,2.0
6.0,7.0,23,15.0,
1.0,16.0,8,15.0,
9.0,15.0,18,16.0,5.0
2.0,9.0,15,12.0,6.0
4.0,8.0,7,23.0,2.0
